Product_en;Amount_pcs;Price;Date
Sticker/Patch;49;1876,00;2019-06-07
Mug;19;1881,00;2019-06-07
Shot glass;19;1235,00;2019-06-07
Soft toy;2;278,00;2019-06-07
Postcard;301;2408,00;2019-06-07
Pin;4;180,00;2019-06-07
Shawl/Scarf;8;1099,00;2019-06-07
Winter jacket;2;2798,00;2019-06-07
Viking;3;417,00;2019-06-07
Kitchen;3;247,00;2019-06-07
Post stamp;174;3657,00;2019-06-07
Headband;8;755,00;2019-06-07
Children;6;634,00;2019-06-07
Buff;5;345,00;2019-06-07
Thimble;3;150,00;2019-06-07
Pen/Pencil;1;29,00;2019-06-07
Lighter;1;35,00;2019-06-07
Card Deck;1;75,00;2019-06-07
Glasses case;2;198,00;2019-06-07
Nordkapp figure;24;2448,00;2019-06-07
Stationery;1;49,00;2019-06-07
License plate;2;130,00;2019-06-07
Souvenirs;38;3830,00;2019-06-08
Trolls;4;489,00;2019-06-08
Clothes;7;2311,00;2019-06-08
Books;6;916,00;2019-06-08
Figures;3;447,00;2019-06-08
Various;35;6575,00;2019-06-08
Food;28;1972,00;2019-06-08
Fur;4;3192,00;2019-06-08
Softshell;15;8985,00;2019-06-08
Down jacket;1;899,00;2019-06-08
Flower jacket;4;3996,00;2019-06-08
Mocca Fleece;3;1497,00;2019-06-08
Troll magnet;7;413,00;2019-06-08
Fluffy socks;6;814,00;2019-06-08
Christmas;13;1450,00;2019-06-08
Hat;13;1508,00;2019-06-08
Candy/Chocolate;4;246,00;2019-06-08
T-shirt;17;4043,00;2019-06-08
Socks;8;732,00;2019-06-08
Keychain;16;944,00;2019-06-08
Cap;8;1316,00;2019-06-08
Down coat;2;1998,00;2019-06-08
Combijacket;3;1347,30;2019-06-08
Hoodie;6;1794,00;2019-06-08
Magnet;42;2386,04;2019-06-08
Ny Form Troll;7;1713,00;2019-06-08
Woolen sweater;3;4197,00;2019-06-08
Gloves/Mittens;1;150,00;2019-06-08
Sticker/Patch;19;705,00;2019-06-08
Mug;4;396,00;2019-06-08
Soft toy;1;50,00;2019-06-08
Postcard;94;780,76;2019-06-08
Jewelry;2;554,00;2019-06-08
Pin;2;90,00;2019-06-08
Shawl/Scarf;9;1380,00;2019-06-08
Napkins;3;177,00;2019-06-08
Winter jacket;1;1399,00;2019-06-08
Viking;1;99,00;2019-06-08
Kitchen;1;120,00;2019-06-08
Post stamp;47;1008,00;2019-06-08
Headband;2;240,00;2019-06-08
Buff;1;69,00;2019-06-08
Thimble;1;50,00;2019-06-08
Lighter;3;357,00;2019-06-08
Glasses case;1;99,00;2019-06-08
Stationery;5;245,00;2019-06-08
Souvenirs;7;303,00;2019-06-09
Various;3;263,00;2019-06-09
Food;6;454,00;2019-06-09
Troll magnet;1;59,00;2019-06-09
Hat;1;99,00;2019-06-09
Candy/Chocolate;1;39,00;2019-06-09
T-shirt;3;607,00;2019-06-09
Down coat;1;699,30;2019-06-09
Magnet;10;490,00;2019-06-09
Sticker/Patch;1;30,00;2019-06-09
Mug;1;99,00;2019-06-09
Postcard;5;40,00;2019-06-09
Post stamp;5;105,00;2019-06-09
Pen/Pencil;1;69,00;2019-06-09
Souvenirs;9;792,00;2019-06-10
Trolls;4;560,00;2019-06-10
Clothes;6;740,00;2019-06-10
Books;2;209,00;2019-06-10
Various;10;608,00;2019-06-10
Food;6;544,00;2019-06-10
Down jacket;1;899,00;2019-06-10
Mocca Fleece;4;1996,00;2019-06-10
Troll magnet;4;236,00;2019-06-10
Hat;1;99,00;2019-06-10
Candy/Chocolate;4;276,00;2019-06-10
T-shirt;1;199,00;2019-06-10
Socks;2;178,00;2019-06-10
Keychain;5;315,00;2019-06-10
Cap;1;150,00;2019-06-10
Magnet;4;196,00;2019-06-10
Woolen sweater;1;1399,00;2019-06-10
Gloves/Mittens;4;598,00;2019-06-10
Sticker/Patch;2;75,00;2019-06-10
Postcard;14;112,00;2019-06-10
Kitchen;1;89,00;2019-06-10
Post stamp;11;231,00;2019-06-10
Thimble;2;100,00;2019-06-10
Glasses case;1;99,00;2019-06-10
Stationery;2;98,00;2019-06-10
Souvenirs;188;16427,00;2019-06-11
Trolls;26;3328,00;2019-06-11
Clothes;45;8749,00;2019-06-11
Books;18;2243,00;2019-06-11
Various;134;13606,00;2019-06-11
Food;32;2338,00;2019-06-11
Fur;7;3885,00;2019-06-11
Softshell;31;18569,00;2019-06-11
Down jacket;4;3596,00;2019-06-11
Flower jacket;2;1998,00;2019-06-11
Mocca Fleece;10;4990,00;2019-06-11
Troll magnet;71;4139,00;2019-06-11
Fluffy socks;25;3055,00;2019-06-11
Christmas;46;3546,00;2019-06-11
Hat;65;7420,10;2019-06-11
Candy/Chocolate;18;1242,00;2019-06-11
T-shirt;54;11956,00;2019-06-11
Socks;15;1391,00;2019-06-11
Keychain;78;4992,00;2019-06-11
Cap;15;2279,00;2019-06-11
Down coat;1;999,00;2019-06-11
Combijacket;13;6337,30;2019-06-11
Hoodie;15;4485,00;2019-06-11
Nordkapp book;1;99,00;2019-06-11
Magnet;337;17043,20;2019-06-11
Snow globe;35;2885,00;2019-06-11
Ny Form Troll;10;2308,10;2019-06-11
Gloves/Mittens;7;1050,00;2019-06-11
Sticker/Patch;26;951,00;2019-06-11
Mug;13;1308,00;2019-06-11
Shot glass;4;284,00;2019-06-11
Soft toy;4;579,00;2019-06-11
Postcard;280;2340,80;2019-06-11
Jewelry;1;255,00;2019-06-11
Pin;6;270,00;2019-06-11
Shawl/Scarf;13;1821,00;2019-06-11
Napkins;2;118,00;2019-06-11
Viking;4;476,00;2019-06-11
Kitchen;12;1088,00;2019-06-11
Post stamp;200;4205,70;2019-06-11
Headband;6;515,00;2019-06-11
Children;12;1400,00;2019-06-11
Buff;4;276,00;2019-06-11
Thimble;3;150,00;2019-06-11
Pen/Pencil;17;763,00;2019-06-11
Lighter;6;283,50;2019-06-11
Card Deck;1;75,00;2019-06-11
Glasses case;10;990,00;2019-06-11
Nordkapp figure;13;1465,00;2019-06-11
Bottle cap;2;198,00;2019-06-11
Stationery;12;588,00;2019-06-11
License plate;20;1300,00;2019-06-11
Pocket knife;1;110,00;2019-06-11
Boxer;6;834,00;2019-06-11
Souvenirs;336;38026,00;2019-06-12
Trolls;20;2538,00;2019-06-12
Clothes;87;18652,00;2019-06-12
Books;49;5856,00;2019-06-12
Figures;4;2846,00;2019-06-12
Various;175;18618,00;2019-06-12
Food;112;8718,00;2019-06-12
Fur;15;12965,00;2019-06-12
Softshell;47;28153,00;2019-06-12
Down jacket;7;6293,00;2019-06-12
Flower jacket;10;9990,00;2019-06-12
Mocca Fleece;11;5374,23;2019-06-12
Troll magnet;116;6794,00;2019-06-12
Fluffy socks;43;5517,00;2019-06-12
Christmas;50;4701,00;2019-06-12
Hat;84;9391,00;2019-06-12
Candy/Chocolate;56;3404,00;2019-06-12
T-shirt;130;28930,00;2019-06-12
Socks;46;3988,00;2019-06-12
Keychain;131;8559,00;2019-06-12
Cap;16;2427,00;2019-06-12
Down coat;4;3996,00;2019-06-12
Combijacket;8;3992,00;2019-06-12
Hoodie;26;7774,00;2019-06-12
Nordkapp book;1;99,00;2019-06-12
Magnet;355;18172,05;2019-06-12
Snow globe;38;3450,00;2019-06-12
Ny Form Troll;19;5351,00;2019-06-12
Woolen sweater;2;3298,00;2019-06-12
Gloves/Mittens;16;2316,00;2019-06-12
Sticker/Patch;28;1187,00;2019-06-12
Mug;28;2772,00;2019-06-12
Shot glass;14;922,00;2019-06-12
Soft toy;5;460,00;2019-06-12
Postcard;490;3922,00;2019-06-12
Jewelry;6;1494,00;2019-06-12
Pin;10;450,00;2019-06-12
Shawl/Scarf;24;3981,00;2019-06-12
Napkins;9;531,00;2019-06-12
Viking;5;755,00;2019-06-12
Kitchen;31;2918,25;2019-06-12
Post stamp;299;6279,00;2019-06-12
Headband;11;1197,00;2019-06-12
Children;10;1252,00;2019-06-12
Buff;4;276,00;2019-06-12
Reindeer products;5;2596,00;2019-06-12
Thimble;4;200,00;2019-06-12
Pen/Pencil;20;1120,00;2019-06-12
Lighter;4;140,00;2019-06-12
Card Deck;8;600,00;2019-06-12
Glasses case;10;990,00;2019-06-12
Nordkapp figure;28;3122,00;2019-06-12
Bottle cap;5;495,00;2019-06-12
Slate;2;220,00;2019-06-12
Stationery;20;1030,00;2019-06-12
License plate;14;906,75;2019-06-12
Boxer;1;139,00;2019-06-12
Souvenirs;12;891,30;2019-06-13
Trolls;1;99,00;2019-06-13
Clothes;6;1422,00;2019-06-13
Books;2;198,00;2019-06-13
Various;10;647,50;2019-06-13
Food;15;935,00;2019-06-13
Fur;1;699,00;2019-06-13
Softshell;4;2396,00;2019-06-13
Down jacket;1;899,00;2019-06-13
Mocca Fleece;1;499,00;2019-06-13
Troll magnet;3;177,00;2019-06-13
Fluffy socks;1;129,00;2019-06-13
Hat;6;696,00;2019-06-13
Candy/Chocolate;2;118,00;2019-06-13
T-shirt;4;806,00;2019-06-13
Socks;1;85,00;2019-06-13
Keychain;4;226,00;2019-06-13
Down coat;1;999,00;2019-06-13
Combijacket;2;998,00;2019-06-13
Magnet;13;607,60;2019-06-13
Snow globe;1;79,00;2019-06-13
Sticker/Patch;8;405,00;2019-06-13
Mug;5;495,00;2019-06-13
Soft toy;1;50,00;2019-06-13
Postcard;18;268,00;2019-06-13
Shawl/Scarf;2;220,00;2019-06-13
Napkins;1;59,00;2019-06-13
Viking;1;179,00;2019-06-13
Kitchen;2;198,00;2019-06-13
Post stamp;9;189,00;2019-06-13
Headband;1;120,00;2019-06-13
Buff;2;128,00;2019-06-13
Pen/Pencil;3;207,00;2019-06-13
Lighter;2;70,00;2019-06-13
Card Deck;1;49,00;2019-06-13
Glasses case;1;99,00;2019-06-13
Nordkapp figure;5;436,00;2019-06-13
Bottle cap;2;198,00;2019-06-13
Slate;4;398,00;2019-06-13
Souvenirs;251;28911,00;2019-06-14
Trolls;10;1434,00;2019-06-14
Clothes;48;10476,00;2019-06-14
Books;35;4885,30;2019-06-14
Figures;3;1547,00;2019-06-14
Various;117;9832,50;2019-06-14
Food;69;5321,00;2019-06-14
Fur;24;13806,00;2019-06-14
Softshell;43;25757,00;2019-06-14
Down jacket;8;7192,00;2019-06-14
Flower jacket;3;2997,00;2019-06-14
Mocca Fleece;10;4990,00;2019-06-14
Troll magnet;45;2585,00;2019-06-14
